Candidate,County,Number of Votes,Ten Percent of Vote,Tweet List
clinton,Linn,47%,Y,"['tkriii: hillaryclinton #MichiganForHillary #IowaCaucus #Iowa #CedarRapids #ImWithHer #Hillary2016 https://t.co/gkTPsezcVC\n', 'tkriii: hillaryclinton #MichiganForHillary #IowaCaucus #Iowa #CedarRapids #ImWithHer #Hillary2016 https://t.co/gkTPsezcVC\n', 'tkriii: hillaryclinton #MichiganForHillary #IowaCaucus #Iowa #CedarRapids #ImWithHer #Hillary2016 https://t.co/gkTPsezcVC\n', 'latte_lib_86: #ReadyforHillary...(and Bill...and Chelsea...)! :) #thetrail  #iowacaucus #rallytime #ImWithHer https://t.co/WXLBQNzT7n\n', 'latte_lib_86: #BeaniesforHillary #obligatoryrallyselfie #beanieappreciation #iowacaucus #ImWithHer https://t.co/aHJNFz5uG6\n', 'doctorslate: Waiting for Hillary Bill and Chelsea at Washington High School. https://t.co/ZsO4ZbOhXo\n', 'ErikvanBruggen: Hillary in Cedar Rapids #iowa #hillary2016 @ Washington High School (Cedar Rapids, Iowa) https://t.co/NmpQcPAJnD\n', 'OMGSheri: #billclinton having a chat 5 inches from my face #presidentclinton #hillaryclinton https://t.co/h6f6RwcmsT\n', 'MorganGilbard: Chloe, age 7, made Hillary a Valentine. She kept jumping on her tip-toes, hoping that Hillary https://t.co/VYf9MuPntI\n', 'LeAaronFoley: Hillary, Bill &amp; Chelsea! #imwithher @ Washington High School (Cedar https://t.co/GKTlNWf15N\n', 'tkriii: #TheClintons #IowaCaucus #Hillary2016 #Iowa #MichiganForHillary #HillaryForAmerica https://t.co/LonpkHGSFi\n', 'tkriii: #TheClintons #IowaCaucus #Hillary2016 #Iowa #MichiganForHillary #HillaryForAmerica https://t.co/LonpkHGSFi\n', ""jeanimurray: Iowa's biggest friend of labor firing up the troops for #hillaryclinton #imwithher #hillaryforia https://t.co/yD7EymNySJ\n"", 'latte_lib_86: Long time, no see, Bill! :) #PollywoodontheRoad #iowacaucus #ImWithHer #NEAforHillary https://t.co/PLDKuuuWPH\n']"
clinton,Louisa,56%,Y,
clinton,Lucas,60%,Y,
clinton,Lyon,40%,Y,
clinton,Madison,53%,Y,
clinton,Mahaska,56%,Y,
clinton,Marion,50%,Y,
clinton,Marshall,47%,Y,
clinton,Mills,51%,Y,
clinton,Mitchell,65%,Y,
clinton,Monona,60%,Y,
clinton,Monroe,43%,Y,
clinton,Montgomery,36%,Y,
clinton,Muscatine,46%,Y,
clinton,O'Brien,51%,Y,
clinton,Osceola,57%,Y,
clinton,Page,49%,Y,
clinton,Palo Alto,53%,Y,
clinton,Plymouth,55%,Y,
clinton,Pocahontas,66%,Y,
